time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,v_x_mean,v_x_std,v_y_mean,v_y_std,v_z_mean,v_z_std,velocity_x_calc,velocity_y_calc,velocity_z_calc
1574.55,25.314501460000002,0.2218088846517491,-7.36775922,0.1299723759685134,0.0741692,0.22032199636083602,3.76734014,0.19702426022567665,1.21099285,0.3899815371877762,2.4426821100000002,0.13219549372505107,0.023340199899999997,0.0024829451119056886,-0.0115349325,0.001458793192289936,0.0002849388,0.0012005383549254186,-0.0010801999999898726,0.0013629499999936456,0.0013028500000011878
1574.65,25.31445439,0.22195456482556725,-7.36737206,0.13009911190721807,0.07423634,0.22074765682956138,3.76718341,0.19683812031667008,1.21115708,0.3896865952989796,2.44300802,0.13201671375766527,0.023363141,0.002243992809589616,-0.0115007007,0.0014238293464167984,0.0002928516,0.0010611080317802356,0.0011772499999977981,0.003192699999999604,-0.0001081500000017499
1574.75,25.31473691,0.22220909702536967,-7.36712068,0.1297177698110211,0.07414757,0.22092499722771466,3.76727976,0.19695211216179512,1.21058419,0.3901961250995724,2.44341402,0.13196497747347727,0.023411429400000003,0.0023052521939871274,-0.011531813600000001,0.0015171901104301029,0.0002391963,0.0010581123825054806,0.0012775499999833073,0.001005100000000425,0.00018220000000018777
1574.85,25.314709899999997,0.2225422462623783,-7.36717104,0.13020933100358983,0.07427278,0.22081546883646136,3.76731523,0.19686511774728818,1.21085402,0.3907471310198477,2.44397264,0.13201818881682606,0.023398054300000002,0.0023486611757607273,-0.0115535618,0.0016069403170121633,0.0002464843,0.0010501487850874834,-0.00197855000000402,0.000729699999993727,-0.0005509499999957757
1574.95,25.314341199999998,0.2231376922326864,-7.366974740000001,0.12998149596230374,0.07403738,0.22099240353235144,3.76751483,0.197183791020851,1.2107670799999999,0.39075901187223727,2.44379429,0.13199644411091205,0.0234074509,0.00271366366395597,-0.011626078900000001,0.0016231549086288249,0.0002512803,0.0010341151450438194,-0.001253449999978784,0.0029512999999923295,-0.001945599999998604
1575.05,25.31445921,0.22288390632169522,-7.3665807800000005,0.1299372698591755,0.07388366,0.22078873092126475,3.7679881899999996,0.1973606621411722,1.21019713,0.3903029897451377,2.44375205,0.13240531085982302,0.0232106747,0.0024047999997162473,-0.0116171542,0.0014917280781305926,0.0002902089,0.0010946674850077173,0.002569250000021839,0.0015775500000145826,-0.0026068499999969963
1575.15,25.314855050000002,0.22297564099769016,-7.36665923,0.13001725825877264,0.07351600999999999,0.22089455774683908,3.76849679,0.19683404003954388,1.21028315,0.39037597446842087,2.44340561,0.13215998823463818,0.0231027381,0.002376583849384435,-0.0116850072,0.0015283357020034387,0.00022819120000000003,0.0011437531563043318,0.0005128999999755024,-0.0011270500000009065,-0.0004368999999925238
1575.25,25.31456179,0.22325818427525748,-7.36680619,0.13016049414524844,0.07379628,0.2211160826266674,3.76845236,0.19701060964336634,1.21026594,0.3909055213012143,2.44327693,0.13213957218539224,0.0231063412,0.002476857716555223,-0.011616059599999999,0.001500532831473924,0.0002041217,0.0011607125575371165,-0.0012705500000151915,-0.0007178500000080135,0.0033440500000030404
1575.35,25.314600940000002,0.22304329196164427,-7.3668028,0.13007929266187662,0.07418482,0.2213176094085848,3.76824927,0.19763110464930908,1.21012996,0.3908536950891301,2.44292901,0.1321156852692041,0.023138241,0.002565670352922143,-0.011597572700000001,0.001482666196158809,0.0002527101,0.0010683400887135683,0.0011540999999937185,0.0016415499999951066,0.00022185000000829458
1575.45,25.314792609999998,0.22252531486783247,-7.36647788,0.13033965434832956,0.07384065000000001,0.22106469134897977,3.76814682,0.19761796585159158,1.21020335,0.39048964403742165,2.44293098,0.13244959919520066,0.0232515842,0.0025401772978907505,-0.0116290478,0.0015843568502864674,0.00034215380000000004,0.0011872912970693106,0.0010786999999794489,0.0011471499999942125,-0.0020144499999963372
1575.55,25.31481668,0.2231591594129547,-7.36657337,0.13065361308666165,0.07378193,0.22083772163906337,3.76822509,0.19773876913910532,1.21048682,0.3907214693673402,2.443122,0.13226057183507642,0.023296632,0.002763093049382789,-0.0117023088,0.0018143926334227517,0.00032633589999999995,0.0011710781708324136,0.00072355000000357,0.0008875999999915507,0.00031184999999783747
1575.65,25.31493732,0.22334518445692636,-7.36630036,0.13095990007235042,0.07390302,0.2208826356339621,3.7687213600000002,0.1979791290344586,1.2104892699999998,0.3904408549459525,2.44364467,0.1320254180948972,0.023392660200000002,0.002970625660107115,-0.0117228915,0.0018567518523216148,0.0002615744,0.0011531897917728595,-0.002027299999994625,-0.0014724000000114756,-2.6645352591003757e-15
1575.75,25.31441122,0.22323162837700744,-7.36686785,0.13122413246826195,0.07378193000000001,0.22099681241004157,3.76854091,0.1982904749746152,1.2096353,0.39051672036363005,2.44346569,0.13208820106451022,0.0231671668,0.002481109933395475,-0.011676659700000001,0.0016726802946136477,0.00012730629999999998,0.001176618996364313,-0.0025040499999988697,-0.0003780999999989376,-5.300000000041383e-06
1575.85,25.31443651,0.2229349605943443,-7.36637598,0.13100433409762902,0.07390195999999999,0.22091353953178836,3.7687028400000004,0.19772446827481924,1.21008197,0.3904088139134182,2.44290772,0.13211829278225848,0.0232336211,0.0027302463323467204,-0.011712895700000002,0.0018931093794165342,0.0002734622,0.0011956741402581138,0.00021104999999010943,0.0016833000000175957,-0.0003015499999966531
1575.95,25.31445343,0.22305985421923952,-7.36653119,0.13149454344639422,0.07372161999999999,0.22118630872947198,3.76813742,0.19714964544050487,1.20994411,0.3901371996592967,2.44307636,0.13223106483235084,0.0230439724,0.002439327420057977,-0.0116643674,0.0016693542778956553,0.0002322368,0.00124989669731678,-0.001330050000007077,-0.0010801499999999464,0.0005126000000052477
1576.05,25.3141705,0.22302069915817233,-7.366592010000001,0.13101953519200563,0.07400448,0.2211980921937875,3.76794872,0.1971424336620187,1.21027105,0.39003813269666665,2.44268842,0.13223044749959464,0.0231095827,0.0025808677343533066,-0.0116481308,0.0017024126760901673,0.0002512351,0.0011863107936754592,-0.001705549999996947,0.0005433500000009417,0.0007823000000045099
1576.15,25.31411232,0.22324761552856312,-7.3664225199999995,0.13091939914124498,0.07387808,0.22117010138474638,3.76817046,0.19711173333880122,1.21045975,0.3903327563139738,2.44245301,0.13183375232776345,0.0232483788,0.0023760357799040826,-0.0116920677,0.0018318577327268682,0.000134943,0.0012239108028844145,-0.0011262000000016315,0.00011770000000410619,1.7850000002928024e-05
1576.25,25.31394526,0.2232960138350401,-7.36656847,0.13079134469057488,0.07400805,0.22122294467115577,3.76816459,0.19730459908988976,1.21050975,0.39004799925182404,2.4425673900000002,0.13167823764959394,0.0233245534,0.0030094136646476696,-0.0117630828,0.0021727874130376187,0.000338299,0.0012965744039213642,7.845000000372693e-05,-0.0035909500000030903,0.001336400000001181
1576.35,25.31412801,0.2232969362745167,-7.36714071,0.13061509355054676,0.07414536,0.22112039438199016,3.7685414600000002,0.197471090203375,1.20987526,0.3895039575290868,2.44243265,0.13169333623196958,0.0234491088,0.0037859713121179846,-0.011871322900000002,0.003032408333749018,7.63803e-05,0.0013912928852641987,0.001589999999993097,-0.004186600000004148,0.0019019499999983758
1576.45,25.314263259999997,0.2231180073287136,-7.36740579,0.13035041106251866,0.07438844,0.22135915236557638,3.7684331500000003,0.19770458421545403,1.20966405,0.389326730475957,2.44269662,0.13142825610746747,0.023566663800000002,0.0039346430147569065,-0.011954388600000001,0.003639956529315024,0.00018046510000000002,0.001687688044385157,-0.00019610000001080152,-0.0031882500000008918,0.0007243999999959616
1576.55,25.31408879,0.22290500848682426,-7.36777836,0.13037761501531317,0.07429024000000001,0.22153734827447785,3.76852893,0.19709885583411246,1.20956759,0.38919161206339864,2.4427497700000003,0.13128599732982169,0.0235438979,0.003537238971002722,-0.012080528200000001,0.004961533730590434,0.0002367193,0.002008937497486817,-0.0005127999999672284,-0.0007619000000005371,0.00039379999999678006
1576.65,25.314160700000002,0.22261380431016572,-7.36755817,0.1304545332936722,0.0744672,0.22112639513758972,3.76850577,0.1967270248666562,1.20984446,0.38901054857244516,2.44273913,0.13159053750118818,0.023519804199999998,0.0027371860564740424,-0.011866760999999998,0.0038799871380275986,0.00030695989999999997,0.0015028761394130794,0.0002797999999870626,-0.0011746500000100468,-0.001820150000007792
1576.75,25.31414475,0.22265901103975028,-7.36801329,0.1306779886584735,0.07392621,0.22113459895944695,3.76842755,0.1967639609890709,1.20998403,0.3891577214906146,2.44270653,0.13167517478797414,0.0235332074,0.003078679212337333,-0.011738230999999998,0.0030046521513222542,0.00020458470000000003,0.0016695054147022438,-0.000902600000031839,-0.0005803500000070017,-0.0044487000000040244
1576.85,25.313980179999998,0.2227646580334394,-7.36767424,0.13086255944311362,0.07357746,0.2210245270237425,3.7684596599999995,0.19705702031041822,1.21013057,0.3896483169706054,2.44296088,0.13172711009693674,0.0233690051,0.0029108279907056945,-0.0116993438,0.002454435571225806,0.00025406939999999997,0.0016201379539165328,-0.00112899999999172,0.0023823999999947887,-0.0024807000000017787
1576.95,25.31391895,0.22230496259724192,-7.367536810000001,0.1309546251759888,0.07343007,0.22091777648815364,3.76879564,0.1970406833124386,1.20969622,0.38964205426077547,2.44343363,0.1315240680960655,0.0234064446,0.002537462805609047,-0.0117341579,0.002090762111106612,0.0002583005,0.0014922645010201105,-0.0018512499999872034,-0.00024175000000070668,0.0007934000000049957
1577.05,25.31360993,0.2226612428423187,-7.36772259,0.13139923957800795,0.07373614,0.22075021593624639,3.76895558,0.19749397730385743,1.20996501,0.39017083881749204,2.44352001,0.1317109252293738,0.023301961200000002,0.002436795107453155,-0.0117262242,0.002267701682974196,0.00025068590000000004,0.001465266751430147,-0.001964900000004377,0.0010873499999988212,0.004137099999996674
1577.15,25.31352597,0.22281486583565918,-7.36731934,0.1312986061850073,0.07425749000000001,0.22094565156495966,3.76879127,0.19740418938698448,1.21027041,0.3902944246307141,2.44348222,0.13154157312313355,0.0233484974,0.0023961805046755365,-0.0116609609,0.0021625434623595736,0.0001726008,0.0012125531212586525,0.0011285000000071932,0.0011015999999912651,0.004101299999996477
1577.25,25.31383563,0.22267695198943713,-7.36750227,0.13127625139760507,0.0745564,0.22171642093243996,3.7689317499999997,0.19698592180673205,1.2103235700000001,0.3905475067806875,2.4438389000000003,0.13138048873740257,0.0233424243,0.002218532357977781,-0.011624769,0.002195589520145035,0.0001384283,0.0012157304415399734,0.0018057000000055723,-0.001054000000003441,-0.0006246000000006413
1577.35,25.31388711,0.2228242748624523,-7.36753014,0.13123841313865378,0.07413257,0.22173074206362534,3.76916579,0.19664863243914968,1.21085657,0.39070924289321207,2.44387037,0.13146626273208076,0.0234510531,0.00238025315877619,-0.0116661096,0.002108870928878898,0.00010881430000000001,0.0011242653849840092,-0.0014827999999909025,0.0006584999999930119,-0.0015604500000057642
1577.45,25.31353907,0.22258883048266734,-7.36737057,0.13158623529824368,0.07424431,0.2212422932126537,3.76863216,0.19673928729788356,1.21102603,0.39069157736605586,2.44403154,0.1314984395753651,0.023448084699999996,0.0022087821940587117,-0.0116769606,0.0020017065258448197,0.0001533353,0.00114523683051436,-0.0015067999999871518,0.0009253500000028225,0.0030050000000036436
1577.55,25.31358575,0.22288801231580074,-7.36734507,0.13144496961387697,0.07473357,0.22165908486925556,3.76896718,0.19686091339705508,1.21102189,0.3909371232019182,2.4443178800000003,0.13214187786887513,0.0234893053,0.002269224625995665,-0.011700604400000002,0.0020376192964410528,0.0002939856,0.0012106603099271778,0.0010113000000018246,-0.0013153499999987162,0.003198550000003131
1577.65,25.31374133,0.22282636152304097,-7.36763364,0.13144799773959234,0.07488402,0.221663440797898,3.7687819,0.19664980852849293,1.21057079,0.3909321466695757,2.44449374,0.13245749679678034,0.0235808245,0.002426637467821908,-0.011714251,0.0019772889737297715,0.0001591088,0.0012675926694084103,0.0006015499999989515,0.00045655000000266455,0.0010857999999987489
1577.75,25.31370606,0.22314112046211365,-7.36725376,0.13153599467980787,0.07495073,0.2217928556199172,3.76867686,0.19670018282080406,1.2104066,0.3912129356746939,2.44435622,0.13264763025457,0.0234636522,0.002250462594610398,-0.0117537474,0.0019806722921065023,0.0001607818,0.0012320011572705281,0.0003978000000159909,-0.0004658499999976584,0.0009695000000009557
1577.85,25.313820890000002,0.22375856252521706,-7.367726810000001,0.1315581678424972,0.07507792,0.2213248474783771,3.76861519,0.1976084454713665,1.21017959,0.39081587650889527,2.44451474,0.13254306946225902,0.023368165200000002,0.0023978532581244287,-0.0117482894,0.002113938728295959,0.00016126619999999998,0.0011499527156531,0.0022098499999998467,-0.001049100000010128,0.0005698000000015635
1577.95,25.314148030000002,0.22412368582131212,-7.36746358,0.13177739202263203,0.07506469,0.2212744402672613,3.76894585,0.19779909921128414,1.20980705,0.3907298100181967,2.44443058,0.13246150623492026,0.0232757179,0.002201400062002919,-0.0117741635,0.001956734144511647,0.0001459129,0.00125067355908427,0.0018892499999907386,0.0001755500000015786,0.000227300000000763
1578.05,25.314198740000002,0.22410244272958266,-7.3676917,0.13162555923685243,0.07512338,0.2211608283165722,3.76877958,0.19802863663515788,1.20969043,0.3907207761863731,2.44425959,0.13231121174158741,0.0233389592,0.0021694815167371214,-0.011815431599999999,0.0020288711173411813,0.0002514783,0.0010922668165977186,-0.00034740000000965665,-0.0010311000000058357,0.002304699999995552
1578.15,25.314078549999998,0.22444103350460173,-7.3676698,0.1313357319939394,0.07552563,0.22128498333175353,3.7687467700000004,0.19801161403882273,1.21018262,0.39044412100249337,2.44404247,0.13196819905334356,0.0233316342,0.002096979198791924,-0.011766148,0.001878720009694974,0.00023437799999999998,0.001265762480446893,-0.0012839500000154658,-0.0005992999999975268,0.0022703499999954246
1578.25,25.31394195,0.22406281802580277,-7.36781156,0.13149905145068816,0.07557744999999999,0.22088787189213863,3.7683542899999996,0.19787524594788322,1.21027023,0.390360629611367,2.44388979,0.13192355492988844,0.023274463399999997,0.002054636719365271,-0.0117023943,0.0018458284839486226,0.0003646895,0.001555038821537143,-0.0013848999999908074,-0.002505600000006325,0.001195950000001167
1578.35,25.31380157,0.224284184446999,-7.36817092,0.13126213843819265,0.07576482000000001,0.2203998985714619,3.7680996099999997,0.197792885690348,1.20970615,0.3901932345381722,2.44397012,0.13204083462210708,0.023286667599999998,0.0020203713528568674,-0.0116952826,0.0017854999217385942,0.00041744009999999997,0.0013196649272375156,-0.0034717000000057396,-0.0023931499999960693,-0.0010132499999931377
