time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,velocity_x_mean
419.2,33.49057097,0.22374689694937616,-4.89185324,0.1350713474856092,0.08923268999999999,0.16523994953911963,2.57871423,0.15516342629952196,2.25110662,0.26067919586418786,2.15189207,0.14763186157002636,-0.014339000000006763
419.3,33.4892698,0.22391209203600135,-4.89263371,0.13486725913374378,0.08887706,0.16538313930714726,2.57884044,0.1550130660380979,2.2510176,0.2607029691971346,2.15181521,0.14763601711575647,-0.016215300000027355
419.4,33.48732791,0.22363773088726718,-4.89334202,0.1349248223973227,0.0884451,0.16452609971412258,2.57925439,0.15495608841320535,2.25120621,0.26056546353179905,2.1520566199999998,0.14776792525387217,-0.017018600000000106
419.5,33.48586608,0.22334220149424486,-4.89450208,0.13494682198028754,0.08832330000000001,0.16437605943003827,2.57955611,0.15470221108727186,2.25140657,0.26070051079716766,2.1523,0.14788343711528448,-0.01927169999996181
419.6,33.48347357,0.22257331696761018,-4.89510429,0.13525897824964256,0.08786593,0.1641059723040071,2.5795810799999996,0.15408435068800144,2.25158082,0.2609608500779797,2.15244444,0.14776610459642778,-0.02193955000001324
419.7,33.48147817,0.22250503900357077,-4.89581817,0.13517037722142725,0.08766512,0.16414438201176992,2.58023164,0.15404173262532642,2.25163969,0.26059198742465817,2.15230276,0.14799001532796088,-0.020061000000026752
419.8,33.479461369999996,0.22214309388877618,-4.896255780000001,0.13461228121546676,0.08796683,0.1645092796781487,2.58071752,0.15379768979517516,2.25159937,0.26078523255812835,2.15245279,0.14770298385032307,-0.020395700000022998
419.9,33.47739903,0.22195215034019336,-4.89738364,0.13510896584769924,0.08762311,0.1642096825203442,2.5812174199999998,0.15370701603350068,2.2514808299999998,0.2605940534276243,2.15275697,0.14718464545696336,-0.02063394999998991
420.0,33.47533458,0.22232453215436945,-4.8976467,0.1349766887784926,0.08787039999999999,0.16426333205379143,2.58137303,0.15351185392701838,2.2517621500000002,0.26062839842973357,2.15264988,0.14675281105963406,-0.020628499999958194
420.1,33.473273330000005,0.22318651112362672,-4.89802161,0.13522686052441946,0.08806551000000001,0.16437852667464561,2.5813338,0.1534879216407466,2.25180778,0.2611324209446922,2.15264634,0.1462952477289855,-0.019852900000017826
420.2,33.471364,0.22345159945114085,-4.899175629999999,0.13490365645355376,0.08847887,0.16434960516094552,2.58220077,0.15381047094906397,2.2516426999999997,0.2608673176055931,2.15286187,0.14621147675052318,-0.018998250000038297
420.3,33.46947368,0.2227219215850627,-4.8997465,0.13496355741739174,0.08894244999999999,0.16441466628750553,2.5824643800000002,0.15331154982147366,2.25172747,0.26126866478062694,2.15291744,0.14617776854755243,-0.017784750000004124
420.4,33.467807050000005,0.2227029772870442,-4.90073669,0.13576807490484488,0.08870763,0.16478419140360065,2.58256508,0.1529531422675216,2.2514495,0.26120079000060353,2.15333796,0.14628878386066618,-0.018842800000015814
420.5,33.465705119999996,0.22307698288337316,-4.9018988000000006,0.1359092467979714,0.08865256,0.16479988349965974,2.58284692,0.15274379602813484,2.2512390200000003,0.2615066134353081,2.15307058,0.1460695826769481,-0.02122840000001247
420.6,33.46356137,0.22338594365731565,-4.90270021,0.1355485054532584,0.08885056000000001,0.16451821087276067,2.58320564,0.15269633816526587,2.25121458,0.2615803340489402,2.15296046,0.14599286406197587,-0.018323849999973163
420.7,33.46204035,0.22318358848024014,-4.90350865,0.13537742572544353,0.08939345,0.16461814666703176,2.5834189500000004,0.15266526133463112,2.2511317600000003,0.26210640541597463,2.15274965,0.14652371630926606,-0.017406700000009323
420.8,33.46008003,0.22369241507667664,-4.9044534099999995,0.13529276286534803,0.08957027999999999,0.1641985404818364,2.58365831,0.1528892914717748,2.25107326,0.2624156256500468,2.1523895100000003,0.1470398697485365,-0.0203019500000039
420.9,33.45797996,0.2240396249006722,-4.90487663,0.1354798095959492,0.08992125999999999,0.16402209748163554,2.58407601,0.15225746136602353,2.2512723,0.2628150024008131,2.15243244,0.14677759299133397,-0.01856334999999376
421.0,33.45636736,0.22432038613917016,-4.90576301,0.1358374730898073,0.08985357000000001,0.16451952157116537,2.58462276,0.15263089915965655,2.25169006,0.2628580100411325,2.1528750399999996,0.14592082596546263,-0.01822169999999801
421.1,33.45433562,0.22471320027590358,-4.90622812,0.13539971180297583,0.08973867,0.16425487406971426,2.58506607,0.15242340225256604,2.25145229,0.26260376463226154,2.15266833,0.145300869749707,-0.018678100000016684
421.2,33.45263174,0.22425512799968544,-4.90698532,0.13537925929547517,0.08987848,0.16458042707825932,2.5850867699999998,0.15243643430583081,2.2516066,0.2628915170873048,2.1527234699999998,0.14533048457567013,-0.019290399999988495
421.3,33.45047754,0.2246984081663975,-4.90781206,0.13553447131345808,0.08938819,0.16484597366508466,2.5853152699999997,0.15251868233673682,2.25154664,0.2631547280263775,2.1523973,0.14524832603117524,-0.020929999999992788
421.4,33.448445740000004,0.22438111564558152,-4.90856999,0.13564096160720476,0.0897424,0.16468408162713766,2.5853067399999996,0.15219169646077432,2.25156875,0.26351519829840914,2.15259826,0.14548324281126404,-0.020433150000002342
421.5,33.44639091,0.2244693838264281,-4.90921946,0.1357492211154932,0.08932269,0.164360752963477,2.58565854,0.15206234530283413,2.2517491,0.26310426997719427,2.15254682,0.14536969816670317,-0.017430799999999635
421.6,33.44495958,0.22423093889321535,-4.90978949,0.13568328921005157,0.08937479,0.1642853313973874,2.58603814,0.15206992776842945,2.25198147,0.26302216521985083,2.15261392,0.14530281886263552,-0.017994150000021136
